id,panorama_id,text,ocr_yaw,ocr_pitch,ocr_width,ocr_height,lat,lng,heading,pitch,roll
46451896,YTfhlGJxNVQDJv4h6x2jrw,0911,131.26,-2.41,3.83,1.93,40.62,-73.95,171.91,90.26,0.85
47315309,IHI33HPEhI_u4F7hX_yMLQ,0911,-126.92,10.61,0.97,0.33,40.63,-73.99,315.79,90.22,358.99
49793462,PcwyT_Q9vXN6dpWIGdhyPw,0911,-78.6,5.47,1.52,0.62,40.64,-73.99,307.96,90.26,0.19
50456409,rOl5-15juYa5Kug0kFhBIw,0911,103.46,4.76,20.0,8.82,40.68,-73.97,168.38,88.67,0.17
50897258,UoY2JErxfhj7phJrL0IM-A,0911,103.87,-5.54,2.02,0.62,40.7,-73.96,81.32,88.85,0.78
54664393,lFXIBqY_EcxCwO9Av90QWw,0911,-113.75,11.56,1.17,0.63,40.63,-73.99,308.51,90.03,358.89
61474919,wcfv6Z6H9MKOVapV21ppVQ,0911,72.52,17.23,4.38,2.45,40.72,-73.84,308.68,89.35,0.55
62203556,FpKuOeT9p1qkQLXoFV3SPg,0911,-117.93,-2.41,3.96,1.93,40.67,-73.81,276.58,91.03,1.03
62439168,Koeu0M7gIhmt1ULb6Hy3KA,0911,103.18,6.73,2.03,1.09,40.72,-73.84,308.85,89.2,359.81
63107640,ZUdMicbYFliXiqKTKWWgcg,0911,39.43,7.95,6.01,2.3,40.72,-73.83,314.92,91.6,0.46
63913261,8rutQPaZJRD_EoYTycQXUg,0911,72.63,17.35,3.76,1.45,40.72,-73.84,309.04,89.47,0.44
64692752,IZ_OX6ZyipuER6Lb9zkLng,0911,-68.81,2.83,1.08,0.55,40.72,-73.84,128.91,89.64,1.55
65284990,J5f91Jl7Mhf5zeA0UEo7PA,0911,-59.14,2.41,1.22,0.69,40.72,-73.84,127.72,90.79,0.99
65276167,IcQGa0eKcu_R4VoF68M2qQ,0911,84.85,-9.9,1.82,0.67,40.71,-73.79,74.45,90.06,4.58
66172037,HhRjkBGGrWUOENLpuMkX9Q,0911,-81.04,2.55,0.94,0.55,40.72,-73.84,128.45,90.16,0.92
68042427,uGyOyq_2TUjmFXcKfCGIkw,0911,-59.72,-1.83,1.02,0.48,40.68,-73.83,159.12,88.23,358.94
69731731,6AiioqCGL9ImWDI3aJ1cwA,0911,-56.3,2.48,0.86,0.55,40.72,-73.84,127.79,90.14,1.3
72116313,Tt4FphbmmjoYsAXMzHQXrg,0911,-63.13,2.9,1.0,0.55,40.72,-73.84,128.54,89.5,1.47
73045850,GIGXtvECRGgJLfuM-1jGFQ,0911,-68.27,2.48,1.07,0.55,40.72,-73.84,128.61,89.97,1.69
73936735,rdQXzZv2FFuLl1d-PdxF4A,0911,101.04,17.7,4.65,2.25,40.72,-73.84,308.09,89.35,0.41
74507870,jM_s2XqoUgMuOoYgsxsXTQ,0911,140.3,11.0,2.46,1.93,40.72,-73.84,307.91,89.31,359.91
74535005,YrzB9r6tMDp4SknYOt_tpA,0911,124.33,15.09,3.17,1.54,40.72,-73.84,308.73,89.58,0.15
75082324,XVaILzy1QY5xD9HszN0tfw,0911,72.58,1.9,0.94,0.48,40.6,-73.8,85.81,89.5,359.62
77366383,vU4JO_7Otf04iy4jAVHjwg,0911,-51.06,3.0,1.02,0.62,40.72,-73.84,126.87,90.25,0.84
78094808,Y-BEUIo2vsAi4fzXlgmx0A,0911,-57.03,2.34,1.0,0.55,40.72,-73.84,128.17,90.31,1.38
